Date,EURUSD.bid
2016-06-14 00:00:00.844000+00:00,1.12877
2016-06-14 00:00:01.591000+00:00,1.12877
2016-06-14 00:00:01.743000+00:00,1.12875
2016-06-14 00:00:02.464000+00:00,1.12875
2016-06-14 00:00:02.971000+00:00,1.12875
2016-06-14 00:00:03.125000+00:00,1.12873
2016-06-14 00:00:03.330000+00:00,1.12871
2016-06-14 00:00:03.841000+00:00,1.1287
2016-06-14 00:00:04.146000+00:00,1.12866
2016-06-14 00:00:05.258000+00:00,1.12866
2016-06-14 00:00:05.309000+00:00,1.12868
2016-06-14 00:00:09.637000+00:00,1.12871
2016-06-14 00:00:09.722000+00:00,1.12868
2016-06-14 00:00:10.227000+00:00,1.12867
2016-06-14 00:00:13.292000+00:00,1.12867
2016-06-14 00:00:13.596000+00:00,1.12865
2016-06-14 00:00:13.648000+00:00,1.1286
2016-06-14 00:00:14.198000+00:00,1.12861
2016-06-14 00:00:15.076000+00:00,1.12861
2016-06-14 00:00:16.639000+00:00,1.12862
2016-06-14 00:00:17.226000+00:00,1.12861
2016-06-14 00:00:17.580000+00:00,1.12861
2016-06-14 00:00:17.782000+00:00,1.12861
2016-06-14 00:00:18.878000+00:00,1.12861
2016-06-14 00:00:19.397000+00:00,1.12862
2016-06-14 00:00:21.093000+00:00,1.12861
2016-06-14 00:00:21.296000+00:00,1.12861
2016-06-14 00:00:21.701000+00:00,1.12861
2016-06-14 00:00:22.266000+00:00,1.12861
2016-06-14 00:00:24.024000+00:00,1.12861
2016-06-14 00:00:24.551000+00:00,1.12862
2016-06-14 00:00:25.075000+00:00,1.12861
2016-06-14 00:00:26.271000+00:00,1.12866
2016-06-14 00:00:26.372000+00:00,1.12863
2016-06-14 00:00:27.615000+00:00,1.12864
2016-06-14 00:00:27.767000+00:00,1.12868
2016-06-14 00:00:27.919000+00:00,1.12868
2016-06-14 00:00:34.188000+00:00,1.12868
2016-06-14 00:00:34.695000+00:00,1.12869
2016-06-14 00:00:35.357000+00:00,1.12868
2016-06-14 00:00:35.895000+00:00,1.12868
2016-06-14 00:00:36.400000+00:00,1.12869
2016-06-14 00:00:36.905000+00:00,1.12871
2016-06-14 00:00:37.209000+00:00,1.12874
2016-06-14 00:00:37.361000+00:00,1.12874
2016-06-14 00:00:37.867000+00:00,1.12873
2016-06-14 00:00:39.364000+00:00,1.12873
2016-06-14 00:00:39.466000+00:00,1.12872
2016-06-14 00:00:40.112000+00:00,1.12871
2016-06-14 00:00:40.365000+00:00,1.12869
2016-06-14 00:00:40.568000+00:00,1.12871
2016-06-14 00:00:41.076000+00:00,1.12871
2016-06-14 00:00:46.674000+00:00,1.12871
2016-06-14 00:00:48.089000+00:00,1.1287
2016-06-14 00:00:48.292000+00:00,1.1287
2016-06-14 00:00:48.831000+00:00,1.1287
2016-06-14 00:00:49.489000+00:00,1.12871
2016-06-14 00:00:49.995000+00:00,1.1287
2016-06-14 00:00:52.664000+00:00,1.1287
2016-06-14 00:00:54.561000+00:00,1.1287
2016-06-14 00:00:55.068000+00:00,1.12869
2016-06-14 00:00:56.904000+00:00,1.12871
2016-06-14 00:01:02.571000+00:00,1.12869
2016-06-14 00:01:02.876000+00:00,1.12868
2016-06-14 00:01:03.129000+00:00,1.12864
2016-06-14 00:01:03.282000+00:00,1.12864
2016-06-14 00:01:04.101000+00:00,1.12863
2016-06-14 00:01:05.831000+00:00,1.12863
2016-06-14 00:01:07.237000+00:00,1.12863
2016-06-14 00:01:07.742000+00:00,1.12863
2016-06-14 00:01:09.909000+00:00,1.12863
2016-06-14 00:01:13.246000+00:00,1.12863
2016-06-14 00:01:13.756000+00:00,1.12863
2016-06-14 00:01:14.260000+00:00,1.12863
2016-06-14 00:01:14.789000+00:00,1.12863
2016-06-14 00:01:16.023000+00:00,1.12863
2016-06-14 00:01:18.043000+00:00,1.12863
2016-06-14 00:01:22.075000+00:00,1.12863
2016-06-14 00:01:25.195000+00:00,1.12865
2016-06-14 00:01:25.246000+00:00,1.12866
2016-06-14 00:01:26.959000+00:00,1.12866
2016-06-14 00:01:28.353000+00:00,1.12866
2016-06-14 00:01:28.911000+00:00,1.12865
2016-06-14 00:01:29.809000+00:00,1.12865
2016-06-14 00:01:31.574000+00:00,1.12865
2016-06-14 00:01:32.664000+00:00,1.12864
2016-06-14 00:01:33.174000+00:00,1.12864
